date,open,close,high,low,volume,amount
2024-06-19,9.256,9.306,9.366,9.236,796184.0,0
2024-06-20,9.316,9.206,9.326,9.206,629628.0,0
2024-06-21,9.206,9.156,9.246,9.106,830545.0,0
2024-06-24,9.126,9.136,9.226,9.036,947082.0,0
2024-06-25,9.146,9.236,9.286,9.136,769993.0,0
2024-06-26,9.216,9.236,9.286,9.176,628599.0,0
2024-06-27,9.216,9.286,9.366,9.156,928882.0,0
2024-06-28,9.256,9.306,9.416,9.246,918090.0,0
2024-07-01,9.246,9.506,9.506,9.196,1343051.0,0
2024-07-02,9.456,9.556,9.636,9.436,1384386.0,0
2024-07-03,9.556,9.466,9.586,9.446,713067.0,0
2024-07-04,9.456,9.416,9.536,9.406,735044.0,0
2024-07-05,9.416,9.126,9.446,9.076,1713354.0,0
2024-07-08,9.096,9.086,9.176,9.006,868660.0,0
2024-07-09,9.096,9.226,9.256,9.066,1032485.0,0
2024-07-10,9.226,9.296,9.356,9.206,873865.0,0
2024-07-11,9.366,9.286,9.386,9.226,721392.0,0
2024-07-12,9.276,9.466,9.466,9.276,1214164.0,0
2024-07-15,9.466,9.486,9.506,9.416,869412.0,0
2024-07-16,9.486,9.456,9.526,9.396,943008.0,0
2024-07-17,9.456,9.556,9.576,9.436,1220168.0,0
2024-07-18,9.536,9.566,9.586,9.456,1087061.0,0
2024-07-19,9.536,9.526,9.576,9.446,898723.0,0
2024-07-22,9.516,9.386,9.536,9.346,994481.0,0
2024-07-23,9.406,9.336,9.486,9.316,1020154.0,0
2024-07-24,9.336,9.286,9.396,9.276,724518.0,0
2024-07-25,9.276,9.246,9.306,9.156,856404.0,0
2024-07-26,9.256,9.186,9.276,9.126,929552.0,0
2024-07-29,9.176,9.266,9.296,9.126,781552.0,0
2024-07-30,9.256,9.236,9.286,9.186,613268.0,0
2024-07-31,9.236,9.426,9.436,9.226,1096906.0,0
2024-08-01,9.406,9.426,9.476,9.326,733884.0,0
2024-08-02,9.376,9.296,9.406,9.286,590229.0,0
2024-08-05,9.266,9.206,9.376,9.206,758979.0,0
2024-08-06,9.226,9.086,9.276,9.046,1265537.0,0
2024-08-07,9.106,9.086,9.136,9.066,517608.0,0
2024-08-08,9.076,9.096,9.136,9.056,500411.0,0
2024-08-09,9.116,9.196,9.256,9.096,730274.0,0
2024-08-12,9.176,9.166,9.206,9.136,353013.0,0
2024-08-13,9.176,9.106,9.186,9.076,622077.0,0
2024-08-14,9.096,9.076,9.136,9.066,436380.0,0
2024-08-15,9.076,9.186,9.216,9.026,776247.0,0
2024-08-16,9.236,9.286,9.366,9.206,1260368.0,0
2024-08-19,9.286,9.446,9.456,9.276,1482985.0,0
2024-08-20,9.476,9.496,9.586,9.436,1569187.0,0
2024-08-21,9.456,9.506,9.536,9.366,1034888.0,0
2024-08-22,9.496,9.536,9.606,9.476,1109030.0,0
2024-08-23,9.546,9.626,9.656,9.476,1071906.0,0
2024-08-26,9.656,9.646,9.706,9.576,740675.0,0
2024-08-27,9.626,9.586,9.676,9.526,723137.0,0
2024-08-28,9.566,9.486,9.586,9.436,942548.0,0
2024-08-29,9.466,9.286,9.536,9.266,1197676.0,0
2024-08-30,9.266,9.316,9.416,9.266,1294059.0,0
2024-09-02,9.276,9.266,9.366,9.246,968836.0,0
2024-09-03,9.266,9.236,9.286,9.156,916581.0,0
2024-09-04,9.206,9.176,9.306,9.156,847992.0,0
2024-09-05,9.186,9.226,9.236,9.136,594209.0,0
2024-09-06,9.216,9.236,9.366,9.206,878865.0,0
2024-09-09,9.206,9.006,9.226,8.996,1639175.0,0
2024-09-10,9.016,9.056,9.076,8.936,767901.0,0
2024-09-11,9.036,8.806,9.036,8.786,1108727.0,0
2024-09-12,8.806,8.896,8.926,8.766,581834.0,0
2024-09-13,8.886,8.856,8.976,8.856,566462.0,0
2024-09-18,8.876,8.926,8.936,8.816,443611.0,0
2024-09-19,8.946,8.966,8.996,8.836,684293.0,0
2024-09-20,8.966,9.056,9.056,8.936,797297.0,0
2024-09-23,9.046,9.196,9.246,9.026,896908.0,0
2024-09-24,9.266,9.526,9.526,9.236,1638213.0,0
2024-09-25,9.676,9.656,9.856,9.606,2160694.0,0
2024-09-26,9.656,10.306,10.306,9.656,3086457.0,0
2024-09-27,10.506,10.576,10.716,10.186,3840016.0,0
2024-09-30,10.776,11.366,11.456,10.716,5430284.0,0
2024-10-08,12.586,12.036,12.586,11.496,5888978.0,0
2024-10-09,11.786,10.836,11.786,10.816,4269345.0,0
2024-10-10,11.022,11.382,11.662,11.002,3426422.0,0
2024-10-11,11.402,11.122,11.572,10.982,2070891.0,0
2024-10-14,11.382,11.422,11.582,11.192,2400595.0,0
2024-10-15,11.342,11.302,11.632,11.282,2072841.0,0
2024-10-16,11.202,11.462,11.582,11.172,1914494.0,0
2024-10-17,11.472,11.352,11.632,11.332,1653708.0,0
2024-10-18,11.312,11.442,11.582,11.082,2604654.0,0
2024-10-21,11.342,11.212,11.342,11.032,2806655.0,0
2024-10-22,11.162,11.192,11.332,11.122,1617787.0,0
2024-10-23,11.222,11.262,11.292,11.152,1511866.0,0
2024-10-24,11.212,11.152,11.262,11.122,885299.0,0
2024-10-25,11.172,11.112,11.182,11.092,1105755.0,0
2024-10-28,11.082,11.042,11.082,10.932,1169487.0,0
2024-10-29,11.022,10.942,11.142,10.932,1198025.0,0
2024-10-30,10.902,10.722,10.982,10.672,1482403.0,0
2024-10-31,10.732,10.782,10.842,10.642,1250205.0,0
2024-11-01,10.782,10.832,10.952,10.742,1589811.0,0
2024-11-04,10.832,10.862,10.862,10.662,1131516.0,0
2024-11-05,10.822,11.052,11.062,10.792,1665418.0,0
2024-11-06,11.022,10.952,11.042,10.872,1462286.0,0
2024-11-07,10.902,11.312,11.332,10.882,2242844.0,0
2024-11-08,11.342,11.122,11.412,11.102,1895104.0,0
2024-11-11,11.032,11.002,11.082,10.872,1486952.0,0
2024-11-12,10.982,10.942,11.242,10.912,1717663.0,0
2024-11-13,10.902,11.012,11.102,10.882,1086263.0,0
2024-11-14,10.992,10.942,11.102,10.932,1159783.0,0
