date,open,close,high,low,volume,amount
2026-04-20,3.94,3.93,3.95,3.89,805786.0,0
2026-04-21,3.92,3.9,3.95,3.89,728869.0,0
2026-04-22,3.92,3.88,3.92,3.86,764654.0,0
2026-04-23,3.87,3.81,3.88,3.81,1060385.0,0
2026-04-24,3.8,3.75,3.81,3.74,904443.0,0
2026-04-27,3.76,3.73,3.76,3.7,799302.0,0
2026-04-28,3.73,3.75,3.81,3.72,915100.0,0
2026-04-29,3.76,3.87,3.89,3.76,1452255.0,0
2026-04-30,3.87,3.91,3.95,3.83,1659541.0,0
2026-05-06,3.94,4.01,4.03,3.89,1828287.0,0
2026-05-07,4.0,3.98,4.02,3.96,1134746.0,0
2026-05-08,3.97,4.0,4.03,3.95,1109767.0,0
2026-05-11,4.0,4.09,4.14,3.98,1930321.0,0
2026-05-12,4.07,4.1,4.16,4.02,1773139.0,0
2026-05-13,4.08,3.99,4.1,3.98,1308767.0,0
2026-05-14,3.99,3.87,4.03,3.86,1253987.0,0
2026-05-15,3.87,3.78,3.88,3.76,1204343.0,0
2026-05-18,3.78,3.68,3.79,3.66,1523378.0,0
2026-05-19,3.68,3.71,3.73,3.67,1001108.0,0
2026-05-20,3.69,3.6,3.7,3.59,1204426.0,0
2026-05-21,3.61,3.47,3.62,3.47,1317371.0,0
2026-05-22,3.48,3.46,3.5,3.43,866518.0,0
2026-05-25,3.46,3.49,3.52,3.43,950101.0,0
2026-05-26,3.46,3.39,3.48,3.36,1264630.0,0
2026-05-27,3.38,3.33,3.41,3.26,1446504.0,0
2026-05-28,3.31,3.31,3.38,3.27,1208694.0,0
